starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 24 11:58:19 2022	1671883099	0	240	240	240
Sat Dec 24 11:58:17 2022	1671883097	0	240	241	240
Sat Dec 24 11:58:16 2022	1671883096	0	240	241	240
Sat Dec 24 11:58:17 2022	1671883097	0	240	241	240
Sat Dec 24 11:58:17 2022	1671883097	0	241	241	240
Sat Dec 24 11:58:16 2022	1671883096	0	241	241	240
Sat Dec 24 11:58:17 2022	1671883097	0	241	241	240
Sat Dec 24 11:58:20 2022	1671883100	0	241	241	240
Sat Dec 24 11:58:20 2022	1671883100	0	241	241	240
Sat Dec 24 11:58:19 2022	1671883099	0	241	241	240
Sat Dec 24 11:58:19 2022	1671883099	0	241	241	240
Sat Dec 24 11:58:17 2022	1671883097	0	241	241	240
Sat Dec 24 11:58:16 2022	1671883096	0	241	241	241
Sat Dec 24 11:58:17 2022	1671883097	0	241	241	237
Sat Dec 24 11:58:19 2022	1671883099	0	241	241	240
Sat Dec 24 11:58:17 2022	1671883097	0	241	241	240
Sat Dec 24 11:58:19 2022	1671883099	0	241	241	240
Sat Dec 24 11:58:20 2022	1671883100	0	241	241	241
Sat Dec 24 11:58:16 2022	1671883096	0	241	241	240
Sat Dec 24 11:58:17 2022	1671883097	0	241	241	241
Sat Dec 24 11:58:19 2022	1671883099	0	241	242	240
Sat Dec 24 11:58:17 2022	1671883097	0	241	242	241
Sat Dec 24 11:58:20 2022	1671883100	0	242	242	241
Sat Dec 24 11:58:20 2022	1671883100	0	242	242	241
Sat Dec 24 11:58:15 2022	1671883095	0	242	242	241
Sat Dec 24 11:58:19 2022	1671883099	0	242	242	241
Sat Dec 24 11:58:17 2022	1671883097	0	242	242	242
Sat Dec 24 11:58:16 2022	1671883096	0	242	242	241
Sat Dec 24 11:58:17 2022	1671883097	0	242	242	240
Sat Dec 24 11:58:16 2022	1671883096	0	242	242	241
Sat Dec 24 11:58:17 2022	1671883097	0	242	242	241
Sat Dec 24 11:58:19 2022	1671883099	0	242	242	242
Sat Dec 24 11:58:17 2022	1671883097	0	242	242	241
Sat Dec 24 11:58:19 2022	1671883099	0	242	242	242
Sat Dec 24 11:58:19 2022	1671883099	0	242	242	241
Sat Dec 24 11:58:19 2022	1671883099	0	242	242	242
Sat Dec 24 11:58:19 2022	1671883099	0	242	242	242
Sat Dec 24 11:58:19 2022	1671883099	0	242	242	242
Sat Dec 24 11:58:20 2022	1671883100	0	242	243	241
Sat Dec 24 11:58:19 2022	1671883099	0	243	243	242
Sat Dec 24 11:58:17 2022	1671883097	0	243	243	241
Sat Dec 24 11:58:18 2022	1671883098	0	243	243	242
Sat Dec 24 11:58:15 2022	1671883095	0	243	243	242
Sat Dec 24 11:58:15 2022	1671883095	1	241	243	241
Sat Dec 24 11:58:17 2022	1671883097	0	243	243	242
Sat Dec 24 11:58:16 2022	1671883096	0	243	243	242
Sat Dec 24 11:58:18 2022	1671883098	0	243	243	243
Sat Dec 24 11:58:16 2022	1671883096	0	243	243	243
